id,标题,任务描述   ( <sprite=X> 为插入的图片 具体查看 taskMiniIcon （SpriteAsset） ),目标 （需要更换的东西，对应拆装表id）,步骤组ID,任务分数权重,混淆物品ID(逗号分隔),类别,系统,图标,"等级(0,1,2)"
ID,Title,Description,Targets,StepGroupID,Weight,ObfuscatedID,Type,System,Icon,Level
1,机油的排放和机油滤清器的拆卸,发动机附件拆卸描述,"1,2","1,2",1,,,,,
2,涡轮增压器的拆卸,发动机附件拆卸描述,"1,2","1,2",2,,,,,
3,发动机机油冷却器的拆卸,发动机附件拆卸描述,"1,2","1,2",3,,,,,
4,节气门体总成的拆卸,发动机附件拆卸描述,"1,2","1,2",4,,,,,
5,进气歧管的拆卸,发动机附件拆卸描述,"1,2","1,2",5,,,,,
6,燃油喷射泵的拆卸,发动机附件拆卸描述,"1,2","1,2",6,,,,,
7,出水口的拆卸,发动机附件拆卸描述,"1,2","1,2",7,,,,,
8,真空泵的拆卸,发动机附件拆卸描述,"1,2","1,2",8,,,,,
9,点火线圈的拆卸,发动机附件拆卸描述,"1,2","1,2",9,,,,,
10,燃油导轨和喷油器的拆卸,发动机附件拆卸描述,"1,2","1,2",10,,,,,
11,凸轮轴盖和衬垫的拆卸,发动机附件拆卸描述,"1,2","1,2",11,,,,,
12,配气正时的调整和固定,发动机附件拆卸描述,"1,2","1,2",12,,,,,
13,扭转减震器的拆卸,发动机附件拆卸描述,"1,2","1,2",13,,,,,
14,发动机前盖的拆卸,发动机附件拆卸描述,"1,2","1,2",14,,,,,
15,正时链的拆卸,发动机附件拆卸描述,"1,2","1,2",15,,,,,
16,凸轮轴正时齿轮的拆卸,发动机附件拆卸描述,"1,2","1,2",16,,,,,
17,进气凸轮轴的拆卸,发动机附件拆卸描述,"1,2","1,2",17,,,,,
18,排气凸轮轴的拆卸,发动机附件拆卸描述,"1,2","1,2",18,,,,,
19,气门摇臂的拆卸,发动机附件拆卸描述,"1,2","1,2",19,,,,,
20,间隙调节器的拆卸,发动机附件拆卸描述,"1,2","1,2",20,,,,,
21,气缸盖的拆卸,发动机附件拆卸描述,"1,2","1,2",21,,,,,
22,连杆轴承盖的拆卸,发动机附件拆卸描述,"1,2","1,2",22,,,,,
23,活塞连杆的拆卸,发动机附件拆卸描述,"1,2","1,2",23,,,,,
24,气环的拆卸,发动机附件拆卸描述,"1,2","1,2",24,,,,,
25,油环的拆卸,发动机附件拆卸描述,"1,2","1,2",25,,,,,
26,下部曲轴箱的拆卸,发动机附件拆卸描述,"1,2","1,2",26,,,,,
27,曲轴的拆卸,发动机附件拆卸描述,"1,2","1,2",27,,,,,
28,机油的排放和机油滤清器的安装,发动机附件拆卸描述,"1,2","1,2",28,,,,,
29,涡轮增压器的安装,发动机附件拆卸描述,"1,2","1,2",29,,,,,
30,发动机机油冷却器的安装,发动机附件拆卸描述,"1,2","1,2",30,,,,,
31,节气门体总成的安装,发动机附件拆卸描述,"1,2","1,2",31,,,,,
32,进气歧管的安装,发动机附件拆卸描述,"1,2","1,2",32,,,,,
33,燃油喷射泵的安装,发动机附件拆卸描述,"1,2","1,2",33,,,,,
34,出水口的安装,发动机附件拆卸描述,"1,2","1,2",34,,,,,
35,真空泵的安装,发动机附件拆卸描述,"1,2","1,2",35,,,,,
36,点火线圈的安装,发动机附件拆卸描述,"1,2","1,2",36,,,,,
37,燃油导轨和喷油器的安装,发动机附件拆卸描述,"1,2","1,2",37,,,,,
38,凸轮轴盖和衬垫的安装,发动机附件拆卸描述,"1,2","1,2",38,,,,,
39,配气正时的调整和固定,发动机附件拆卸描述,"1,2","1,2",39,,,,,
40,扭转减震器的安装,发动机附件拆卸描述,"1,2","1,2",40,,,,,
41,发动机前盖的安装,发动机附件拆卸描述,"1,2","1,2",41,,,,,
42,正时链的安装,发动机附件拆卸描述,"1,2","1,2",42,,,,,
43,凸轮轴正时齿轮的安装,发动机附件拆卸描述,"1,2","1,2",43,,,,,
44,进气凸轮轴的安装,发动机附件拆卸描述,"1,2","1,2",44,,,,,
45,排气凸轮轴的安装,发动机附件拆卸描述,"1,2","1,2",45,,,,,
46,气门摇臂的安装,发动机附件拆卸描述,"1,2","1,2",46,,,,,
47,间隙调节器的安装,发动机附件拆卸描述,"1,2","1,2",47,,,,,
48,气缸盖的安装,发动机附件拆卸描述,"1,2","1,2",48,,,,,
49,连杆轴承盖的安装,发动机附件拆卸描述,"1,2","1,2",49,,,,,
50,活塞连杆的安装,发动机附件拆卸描述,"1,2","1,2",50,,,,,
51,气环的安装,发动机附件拆卸描述,"1,2","1,2",51,,,,,
52,油环的安装,发动机附件拆卸描述,"1,2","1,2",52,,,,,
53,下部曲轴箱的安装,发动机附件拆卸描述,"1,2","1,2",53,,,,,
54,曲轴的安装,发动机附件拆卸描述,"1,2","1,2",54,,,,,
