"步骤组ID","步骤ID","组描述（不填则使用StepID的描述）","权重",,"是否触电"
"StepGroupID","StepIDs","Description","Weight",,
"1","1,2","机油的排放和机油滤清器的拆卸","1",,
"2","3","涡轮增压器的拆卸","1",,
"3","4,5,6,7","发动机机油冷却器的拆卸","1",,
"4","8,9,10","水泵的拆卸","1",
"5","11,12,13","节气门体总成的拆卸","1",,
"6","14,15,16","进气歧管的拆卸","1",,
"7","17,18,19","燃气喷射泵的拆卸","1",,
"8","20,21,22","出水口的拆卸","1",,
"9","23,24,25","真空泵的拆卸","1",,
"10","26,27,28","点火线圈和火花塞的拆卸","1",,
"11","29,30,31,32","燃油导轨和喷油器的拆卸","1",,
,,,,,
"201","201,202,203,204","凸轮轴盖和衬垫的拆卸","1",,
"202","205,206,207","配气正时的调整和固定","1",,
"203","208,209,210","扭转减震器的拆卸","1",,
"204","215,216,217,218,219","发动机前盖的拆卸","1",,
"205","220,221,222,223,224,225,226,227,228","正时链的拆卸","1",,
"206","229,230,231,232","凸轮轴正时齿轮的拆卸","1",,
,,,,,
"301","301,302,303","进气凸轮轴的拆卸","1",,
"302","304,305,306","排气凸轮轴的拆卸","1",,
"303","307,308","气门摇臂的拆卸","1",,
"304","309,310","间隙调节器的拆卸","1",,
,,,,,
"401","401,402,403","气缸盖的拆卸","1",,
,,,,,
"501","501,502,503,504","油底壳的拆卸","1",,
"502","505,506,507","机油泵的拆卸","1",,
"503","508,509,510","机油导流板的拆卸","1",,
,,,,,
"601","601,602","活塞连杆的拆卸","1",,
,,,,,
"701","701,702,703,704","自动变速器绕行盘的拆卸","1",,
"702","705,706,707","下部曲轴箱的拆卸","1",,
"703","708,709,710","曲轴的拆卸","1",,
